location_name,date,pm25,pm10,pm1
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T01:45:37Z,5.47,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T01:51:17Z,6.06,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T01:56:57Z,6.32,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T02:02:37Z,5.34,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T02:08:16Z,5.25,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T02:13:56Z,6.33,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T02:19:36Z,5.47,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T02:25:16Z,5.25,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T02:30:56Z,5.21,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T02:36:35Z,6.75,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T02:42:15Z,5.01,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T02:47:55Z,4.82,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T02:53:35Z,6.8,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T02:59:15Z,5.3,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T03:04:54Z,5.24,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T03:10:34Z,5.19,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T03:16:14Z,7.95,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T03:21:54Z,5.45,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T03:27:34Z,5.57,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T03:33:14Z,6.32,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T03:38:53Z,5.25,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T03:44:33Z,5.34,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T03:50:13Z,5.13,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T03:55:56Z,4.81,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T04:01:36Z,5.12,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T04:07:15Z,4.94,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T04:12:55Z,4.76,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T04:18:35Z,4.66,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T04:24:15Z,4.63,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T04:29:55Z,4.98,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T04:35:35Z,5.03,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T04:41:14Z,4.75,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T04:46:54Z,4.42,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T04:52:34Z,4.5,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T04:58:14Z,5.29,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T05:03:54Z,4.84,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T05:09:33Z,5.02,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T05:15:13Z,5.08,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T05:20:53Z,4.44,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T05:26:33Z,4.88,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T05:32:13Z,5.22,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T05:37:53Z,4.27,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T05:43:33Z,4.79,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T05:49:16Z,5.35,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T05:54:55Z,4.83,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T06:00:35Z,5.22,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T06:06:15Z,6.17,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T06:11:55Z,5.13,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T06:17:35Z,4.83,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T06:23:15Z,4.95,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T06:28:54Z,4.54,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T06:34:34Z,4.6,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T06:40:14Z,4.5,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T06:45:54Z,4.84,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T06:51:34Z,4.71,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T06:57:14Z,5.02,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T07:02:54Z,4.77,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T07:08:37Z,5.13,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T07:14:17Z,4.93,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T07:19:56Z,4.96,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T07:25:36Z,6.59,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T07:31:16Z,5.49,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T07:36:56Z,4.86,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T07:42:36Z,4.84,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T07:48:16Z,4.58,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T07:53:56Z,4.74,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T07:59:39Z,4.78,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T08:05:19Z,7.59,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T08:10:59Z,4.28,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T08:16:38Z,4.95,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T08:22:18Z,5.21,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T08:27:58Z,6.25,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T08:33:38Z,4.01,,
